Betreiber;Art der Ladeeinrichung;Anzahl Ladepunkte;Steckertypen1;Steckertypen2;Steckertypen3;Steckertypen4;P1 [kW];P2 [kW];P3 [kW];P4 [kW];Nennleistung Ladeeinrichtung [kW];Kreis/kreisfreie Stadt;Ort;Postleitzahl;Straße;Hausnummer;Adresszusatz;Inbetriebnahmedatum;koordinaten;Anzeigename (Karte);Steckertypen5;P5 [kW];Public Key5;Steckertypen6;P6 [kW];Public Key6
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 265;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 266;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 298;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 302;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 304;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 311;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 314;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 315;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 318;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 321;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 322;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 325;;48.52063, 9.73984;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 205;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 209;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 212;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 213;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 218;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 225;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 226;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 230;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 231;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 232;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 236;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 269;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 274;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 275;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 281;;48.5203, 9.74106;;;;;;;
Zweckverband Region Schwäbische Alb;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Mühlweg;100;P&R Parkplatz Bahnhof Merklingen Parkplatz 288;;48.5203, 9.74106;;;;;;;
IONITY GmbH;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;200.0;200.0;;;400.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Nellingerstr.;25;;;48.516511, 9.756944;;;;;;;
BP Europa SE;Schnellladeeinrichtung;2.0;"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";DC Fahrzeugkupplung Typ Combo 2 (CCS);;;300.0;300.0;;;300.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Nellinger Straße;24;;;48.51626, 9.759398;Aral Pulse;;;;;;
smopi® - Multi Chargepoint Solution GmbH;Normalladeeinrichtung;4.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;22.0;22.0;22.0;22.0;22.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Industriestraße;1;;;48.515071, 9.758771;smopi;;;;;;
Fahrzeugtechnik Schulz;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Alb-Donau-Kreis;Merklingen;89188;Industriestr.;14;;;48.514493, 9.763711;;;;;;;
Albwerk Elektro- und Kommunikationstechnik GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Alb-Donau-Kreis;Nellingen;89191;Beim Sportzentrum;0;;;48.54165, 9.78394;Albwerk Elektro- und Kommunikationstechnik GmbH;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Alb-Donau-Kreis;Staig - Altheim;89195;Raiffeisenstraße;7;;;48.30245, 9.979794;;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Alb-Donau-Kreis;Staig - Steinberg;89195;Bergstraße;5;;;48.299732, 10.000902;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";;;43.0;50.0;;;93.0;Landkreis Alb-Donau-Kreis;Ehingen;89584;Riedlinger Str.;30;;;48.282052, 9.712327;;;;;;;
EnBW Ostwürttemberg DonauRies AG;Normalladeeinrichtung;4.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;11.0;11.0;11.0;11.0;44.0;Landkreis Alb-Donau-Kreis;Ehingen (Donau);89584;Brauhausstr.;2;Berg Brauerei Parkplatz 1, Ehingen/Berg;;48.262098, 9.735367;EnBW ODR AG;;;;;;
EnBW Ostwürttemberg DonauRies AG;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;11.0;11.0;;;22.0;Landkreis Alb-Donau-Kreis;Ehingen (Donau);89584;Brauhausstr.;2;Berg Brauerei Parkplatz 2, Ehingen/Berg;;48.261866, 9.735656;EnBW ODR AG;;;;;;
Donau-Iller Bank eG;Schnellladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";;;43.0;50.0;;;93.0;Landkreis Alb-Donau-Kreis;Ehingen (Donau);89584;Pfisterstraße;20;;;48.284112, 9.720718;;;;;;;
Bernhard Schneider Vermietungen;Normalladeeinrichtung;4.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;AC Typ 2 Steckdose;11.0;11.0;11.0;11.0;22.0;Landkreis Alb-Donau-Kreis;Ehingen;89584;Röntgenstrasse;17;;;48.29141, 9.71978;;;;;;;
Autohaus Vögtle & Waibel;Normalladeeinrichtung;4.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;22.0;22.0;22.0;22.0;22.0;Landkreis Alb-Donau-Kreis;Ehingen;89584;Alter Postweg;47;;;48.283612, 9.74117;;;;;;;
EnBW Ostwürttemberg DonauRies AG;Schnellladeeinrichtung;3.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;150.0;150.0;22.0;;150.0;Landkreis Alb-Donau-Kreis;Schelklingen;89601;Ehinger Str.;11;Andreas Rau Gewerbepark - Ehinger Str. 11;;48.370567, 9.732608;EnBW ODR AG;;;;;;
Donau-Iller Bank eG;Schnellladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";;;43.0;50.0;;;93.0;Landkreis Alb-Donau-Kreis;Schelklingen;89601;Spitalgasse;4;;;48.37562, 9.73393;;;;;;;
Autohaus Schaude;Normalladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;AC Typ 2 Fahrzeugkupplung;;;22.0;22.0;;;22.0;Landkreis Alb-Donau-Kreis;Schelklingen;89601;Ehinger Straße;15;;;48.36996, 9.73219;;;;;;;
deer GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Alb-Donau-Kreis;Allmendingen;89604;Bahnhofstraße;10;;;48.32789, 9.72289;;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Alb-Donau-Kreis;Oberdischingen;89610;Schlossplatz;9;;;48.301852, 9.832413;;;;;;;
EnBW Ostwürttemberg DonauRies AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Alb-Donau-Kreis;Oberstadion;89613;Mühlhauser Straße;20;Gemeinde Oberstadion - Mühlhauser Straße;;48.186427, 9.692968;EnBW ODR AG;;;;;;
SWU Energie GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Steckdose;;;;22.0;;;;22.0;Landkreis Alb-Donau-Kreis;Rottenacker;89616;Bühlstr.;6;;;48.234939, 9.68958;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Biberach;Biberach;88400;Bahnhofstr.;11;;;48.100104, 9.790221;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Biberach;Biberach;88400;Adolf-Pirrung-Straße;7;;;48.101806, 9.791472;;;;;;;
SMATRICS GmbH & Co KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Biberach;Biberach an der Riß;88400;Amriswilstraße;36;;;48.082588, 9.778534;;;;;;;
SMATRICS GmbH & Co KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Biberach;Biberach an der Riß;88400;Theaterstraße;3;;;48.10122, 9.794715;;;;;;;
Shell Deutschland GmbH;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;300.0;300.0;;;300.0;Landkreis Biberach;Biberach an der Riß;88400;Leipzigstr.;32;;;48.083975, 9.800668;;;;;;;
e.wa riss GmbH & Co. KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Biberach;Biberach;88400;Otto-Schlecht-Straße;1;;;48.10341, 9.806838;;;;;;;
Autohaus Munding GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;11.0;Landkreis Biberach;Biberach;88400;Rißstr.;24;;;48.104182, 9.7958;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Biberach;Bad Schussenried;88427;Wilhelm-Schussen-Straße;36;;;48.0065, 9.65591;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Biberach;Bad Schussenried;88427;Friedrich-Jahn-Str.;2;;;48.004245, 9.652649;;;;;;;
Horst Schilling;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Biberach;Bad Schussenried;88427;Torfwerk;35;;;48.041917, 9.655875;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Biberach;Rot an der Rot;88430;Klosterhof;14;;;48.013527, 10.031169;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Biberach;Rot an der Rot;88430;Biberacher Str.;12;;;47.975307, 9.940336;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Biberach;Schemmenhofen;88433;Hauptstr.;28;;;48.174367, 9.793933;;;;;;;
Autohaus Rapp GmbH & Co KG;Normalladeeinrichtung;1.0;"AC Typ 2 Steckdose; AC Typ 2 Steckdose";;;;22.0;;;;22.0;Landkreis Biberach;Schemmerhofen;88433;Alte Biberacher Str.;50;;;48.16726, 9.788356;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Biberach;Eberhardzell;88436;Hauptstraße;2;;;48.002722, 9.823643;;;;;;;
Auto Brugger GmbH;Normalladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);AC Typ 2 Steckdose;;;22.0;11.0;;;33.0;Landkreis Biberach;Eberhardzell;88436;Biberacher Str.;20;;;48.000146, 9.891401;;;;;;;
Gasthof Adler Äpfingen;Schnellladeeinrichtung;1.0;"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC Fahrzeugkupplung Typ Combo 2 (CCS)";;;;300.0;;;;300.0;Landkreis Biberach;Maselheim;88437;Hauptstr.;19;Parkplatz gegenüber des Gasthofes;;48.158035, 9.856452;Ladestation Adler Äpfingen;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Biberach;Ummendorf;88444;Bachstraße;17;;;48.064293, 9.830137;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;DC Fahrzeugkupplung Typ Combo 2 (CCS);;;43.0;50.0;;;93.0;Landkreis Biberach;Dettingen/Iller;88451;Gustav-Lauser-Weg;0;BAB7;;48.1247, 10.112164;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";;;150.0;75.0;;;150.0;Landkreis Biberach;Dettingen;88451;Autobahn;0;BAB7;;48.124692, 10.112158;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;AC Typ 2 Fahrzeugkupplung;"DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO";;;43.0;50.0;;;93.0;Landkreis Biberach;Dettingen an der Iller;88451;A7 Raststätte Illertal West;0;;;48.12546, 10.109536;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Biberach;Laupheim;88471;Rabenstraße;62;;;48.226264, 9.879258;;;;;;;
deer GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Biberach;Laupheim;88471;Eisenbahnstr.;4;;;48.233914, 9.879105;;;;;;;
EnBW Ostwürttemberg DonauRies AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Biberach;Laupheim;88471;Fockestraße;25/1;Ortheg Besucher/Mitarbeiter Parkplatz;;48.22087, 9.873657;EnBW ODR AG;;;;;;
Bräuer-Fenster BF Fensterbau GmbH;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;22.0;;;;11.0;Landkreis Biberach;Schwendi;88477;Gerberwiesen;4;;;48.172956, 9.973353;;;;;;;
Oliver Straub;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Biberach;Achstetten;88480;Hauptstraße;18;;;48.263116, 9.894503;;;;;;;
Peter Käßmeyer;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Biberach;Burgrieden;88483;Hangweg;45358;;;48.243764, 9.929969;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Biberach;Riedlingen;88499;Friedhofstr.;9;;;48.15492, 9.474131;;;;;;;
EnBW mobility+ AG und Co.KG;Schnellladeeinrichtung;2.0;DC Fahrzeugkupplung Typ Combo 2 (CCS);DC Fahrzeugkupplung Typ Combo 2 (CCS);;;150.0;150.0;;;150.0;Landkreis Biberach;Riedlingen;88499;Hindenburgstraße;5;;;48.15164, 9.47771;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;30.0;Landkreis Biberach;Riedlingen;88499;Tuchplatz;14;;;48.150886, 9.474832;;;;;;;
E-Mobility Ladekonzepte GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;11.0;11.0;;;22.0;Landkreis Biberach;Riedlingen-Bechingen;88499;Ehinger Strasse;12;;;48.198261, 9.495429;Ladekonzepte;;;;;;
Autohaus Munding GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Biberach;Riedlingen;88499;Opelstrasse;1;;;48.154433, 9.50016;;;;;;;
Gasthof Löwen;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Biberach;Wilflingen;88515;Riedlinger Strasse;1;Gasthof Löwen;;48.13755, 9.35476;;;;;;;
Thomas Wahl;Normalladeeinrichtung;1.0;AC Typ 2 Fahrzeugkupplung;;;;11.0;;;;11.0;Landkreis Biberach;Ertingen;88521;Holunderweg;15;;;48.098649, 9.465691;;;;;;;
Fensterle Beton- und Fertigteilwerk GmbH;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;22.0;Landkreis Biberach;Ertingen;88521;Schwarzachstr.;14;;;48.088799, 9.462814;;;;;;;
EnBW mobility+ AG und Co.KG;Normalladeeinrichtung;2.0;"AC Typ 2 Steckdose; AC Schuko";"AC Typ 2 Steckdose; AC Schuko";;;22.0;22.0;;;30.0;Landkreis Biberach;Uttenweiler;88524;Hauptstraße;10;;;48.177931, 9.611834;;;;;;;
Mercedes-Benz AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Böblingen;Böblingen;71032;Leibnizstraße;6/1;;;48.69424, 9.012587;;;;;;;
Mercedes-Benz AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Böblingen;Böblingen;71032;Leibnizstraße;6/1;;;48.694221, 9.012526;;;;;;;
Mercedes-Benz AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Böblingen;Böblingen;71032;Leibnizstraße;6/1;;;48.694203, 9.012463;;;;;;;
Mercedes-Benz AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Böblingen;Böblingen;71032;Leibnizstraße;6/1;;;48.693929, 9.01311;;;;;;;
Mercedes-Benz AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Böblingen;Böblingen;71032;Leibnizstraße;6/1;;;48.69391, 9.01305;;;;;;;
Mercedes-Benz AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Böblingen;Böblingen;71032;Leibnizstraße;6/1;;;48.693812, 9.012741;;;;;;;
Mercedes-Benz AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Böblingen;Böblingen;71032;Leibnizstraße;6/1;;;48.693755, 9.012558;;;;;;;
Mercedes-Benz AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Böblingen;Böblingen;71032;Leibnizstraße;6/1;;;48.694144, 9.012277;;;;;;;
Mercedes-Benz AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Böblingen;Böblingen;71032;Leibnizstraße;6/1;;;48.693834, 9.012812;;;;;;;
Mercedes-Benz AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Böblingen;Böblingen;71032;Leibnizstraße;6/1;;;48.693776, 9.012631;;;;;;;
Mercedes-Benz AG;Normalladeeinrichtung;2.0;AC Typ 2 Steckdose;AC Typ 2 Steckdose;;;22.0;22.0;;;44.0;Landkreis Böblingen;Böblingen;71032;Leibnizstraße;6/1;;;48.694359, 9.012964;;;;;;;
